problem_id,condition,group,num_tokens,tc_raw,tc_pca,tc_sae,s_raw,s_pca,s_sae
84,cot,G4,23,11,11,11,419.6845703125,462.70654296875,12538.328125
3,cot,G4,26,14,14,17,321.172607421875,365.0048828125,10745.826171875
205,cot,G4,36,10,10,25,574.81884765625,709.543212890625,12464.3828125
243,cot,G4,29,16,16,18,202.0390625,252.94775390625,7923.890625
46,cot,G4,27,18,18,18,427.505126953125,468.068359375,23938.94921875
199,cot,G4,42,30,30,31,682.00927734375,839.2998046875,16733.810546875
314,cot,G4,38,25,25,26,1101.470458984375,1215.61962890625,12988.099609375
287,cot,G4,37,23,23,22,1121.2158203125,1226.69140625,22169.75390625
73,cot,G4,30,9,20,8,496.40673828125,599.208740234375,9777.61328125
33,cot,G4,28,9,9,2,416.124267578125,448.498291015625,13201.822265625
172,direct,G1,5,0,0,0,0.0,0.0,0.0
395,direct,G1,5,0,0,0,0.0,0.0,0.0
247,direct,G1,5,0,0,0,0.0,0.0,0.0
130,direct,G1,4,0,0,0,0.0,0.0,0.0
273,direct,G1,6,0,0,0,0.0,0.0,0.0
261,direct,G1,6,0,0,0,0.0,0.0,0.0
82,direct,G1,4,0,0,0,0.0,0.0,0.0
322,direct,G1,5,0,0,0,0.0,0.0,0.0
271,direct,G1,5,0,0,0,0.0,0.0,0.0
47,direct,G1,3,0,0,0,0.0,0.0,0.0
180,direct,G1,5,0,0,0,0.0,0.0,0.0
299,direct,G1,4,0,0,0,0.0,0.0,0.0
390,direct,G1,9,2,2,0,-30.33984375,-30.33984375,-476.734375
112,direct,G1,4,0,0,0,0.0,0.0,0.0
206,direct,G1,8,1,1,0,45.3798828125,45.3798828125,1594.287109375
137,direct,G1,4,0,0,0,0.0,0.0,0.0
257,direct,G1,6,0,0,0,0.0,0.0,0.0
188,direct,G1,5,0,0,0,0.0,0.0,0.0
106,direct,G1,7,0,0,0,-60.1630859375,-60.1630859375,-2470.984375
19,direct,G1,3,0,0,0,0.0,0.0,0.0
392,direct,G1,4,0,0,0,0.0,0.0,0.0
389,direct,G1,5,0,0,0,0.0,0.0,0.0
379,direct,G1,8,1,1,0,19.454345703125,19.454345703125,1006.79296875
175,direct,G1,9,2,2,1,35.640625,35.640625,1877.29296875
171,direct,G1,9,2,2,1,131.7724609375,131.7724609375,5939.6484375
194,direct,G1,5,0,0,0,0.0,0.0,0.0
237,direct,G1,4,0,0,0,0.0,0.0,0.0
173,direct,G1,5,0,0,0,0.0,0.0,0.0
90,direct,G1,4,0,0,0,0.0,0.0,0.0
126,direct,G1,4,0,0,0,0.0,0.0,0.0
150,direct,G1,4,0,0,0,0.0,0.0,0.0
202,direct,G1,5,0,0,0,0.0,0.0,0.0
264,direct,G1,6,0,0,0,0.0,0.0,0.0
14,direct,G1,4,0,0,0,0.0,0.0,0.0
341,direct,G1,5,0,0,0,0.0,0.0,0.0
178,direct,G1,5,0,0,0,0.0,0.0,0.0
336,direct,G1,4,0,0,0,0.0,0.0,0.0
362,direct,G1,8,1,1,0,-29.2392578125,-29.2392578125,3323.45703125
132,direct,G1,4,0,0,0,0.0,0.0,0.0
10,direct,G1,3,0,0,0,0.0,0.0,0.0
308,direct,G1,6,0,0,0,0.0,0.0,0.0
