metric,layer,SS_regime,SS_quality,SS_interaction,SS_residual,SS_total,eta_sq_regime,eta_sq_quality,eta_sq_interaction,proportion_regime_of_explained
cos_to_late_window,1,1.0392704903269256,0.00022331427825942587,0.008547929635233998,1.253239868835675,2.3012816030760943,0.45160509210943406,9.703909246088113e-05,0.003714421400583087,0.9916308257324785
cos_to_late_window,2,0.3218644997000767,0.0006434457186075188,0.008752204612965036,0.5671663794586839,0.8984265294903331,0.3582535567851794,0.0007161918058814872,0.009741703217435109,0.9716366416827532
cos_to_late_window,3,0.5312203320887441,0.0006414172940175978,0.00816234229972148,0.6569332704855921,1.1969573621680754,0.44380890153558433,0.0005358731349091537,0.006819242320325302,0.9836974688178998
cos_to_late_window,4,0.4707556752348051,0.00014488868212494035,0.0020970663486681767,0.7923897202261506,1.2653873504917488,0.3720249574581746,0.00011450144658758791,0.001657252498891525,0.9952601136087422
cos_to_late_window,5,0.49112120260399295,0.000370352257552872,0.000473761966406784,0.9107525300767882,1.402717846904741,0.3501211620624266,0.0002640247704626394,0.0003377457322954823,0.9982841997289519
cos_to_late_window,6,0.5653691736871411,0.0010704681888385032,0.00013533630422052663,1.096413369568502,1.6629883477487022,0.339971819076495,0.0006437015570720427,8.138139055739048e-05,0.9978717653629321
cos_to_late_window,7,0.4680723706045138,0.003605339566398028,0.0019090945823536391,1.253594860495854,1.7271816652491194,0.27100355453171254,0.0020874119028342123,0.0011053235573099264,0.9883560223946175
cos_to_late_window,8,0.5609587008545553,0.002316789635199514,0.0004300165028287195,1.7004811846054393,2.264186691598023,0.24775284782662538,0.001023232599942704,0.0001899209567940802,0.9951272320316992
cos_to_late_window,9,0.9107356182706847,0.0005351319027381448,0.004187539654460559,1.6340360047436417,2.549494294571525,0.35722206565037457,0.00020989727408983296,0.0016424981469371472,0.994841194175994
cos_to_late_window,10,0.8518502359594963,1.9455502088198193e-06,0.002534286463051171,1.6884500407981085,2.542836508770865,0.3350000021712983,7.651102232129911e-07,0.0009966375951854542,0.9970315166399137
cos_to_late_window,11,1.0994494194688822,0.0006830564676391003,0.0005769058741516809,1.9452713121278014,3.045980693938474,0.3609508824717095,0.00022424845600577448,0.00018939905801101372,0.9988553178862545
cos_to_late_window,12,0.7722083914062625,1.8425981198319277e-05,0.0015324581230537775,2.057704826728825,2.8314641022393396,0.2727240620128437,6.5075807190162124e-06,0.0005412246342243194,0.997995650387223
cos_to_late_window,13,1.110654152051582,5.228372736786032e-05,0.0023648920491480237,2.891389134051829,4.004460461879926,0.2773542559913743,1.305637247903187e-05,0.0005905644647163793,0.997828372974774
cos_to_late_window,14,0.9117496155667612,0.003827168648401778,0.014856552662198635,2.283848431195548,3.21428176807291,0.28365578420133075,0.0011906761524196798,0.004622044280550342,0.9799193337447418
cos_to_late_window,15,0.9404059206993949,0.003293704765825344,0.0031365798650200023,3.2220397272219437,4.168875932552184,0.22557781423916803,0.0007900702297487034,0.0007523802376867064,0.9932086620741307
cos_to_late_window,16,1.2364793319786358,4.6912837383760096e-07,0.004202472652735326,6.48809667869579,7.728778952455535,0.159983787812406,6.069889910469657e-08,0.0005437434138804223,0.9966123947524672
cos_to_late_window,17,0.6019081308473034,0.0004585711432153438,0.0018322300770248362,6.029044209179647,6.63324314124719,0.0907411530122401,6.913226810032516e-05,0.0002762193451995698,0.9962085314973975
cos_to_late_window,18,0.5747556208156388,0.005202411792625008,0.0012148107096843842,6.362683562197487,6.943856405515436,0.08277181831685289,0.0007492107395096454,0.00017494755633475832,0.9889581514757758
cos_to_late_window,19,0.48014035399295635,0.010092073768521732,0.0006482821326126068,7.568054212783123,8.058934922677214,0.059578636457514864,0.0012522838148405226,8.044265636000999e-05,0.9781202322995101
cos_to_late_window,20,0.8915718630815435,0.012608637879264634,7.346161265714744e-06,9.017779396145956,9.92196724326803,0.08985837598753084,0.0012707800348584588,7.403936221114872e-07,0.9860471647781094
cos_to_late_window,21,0.6586972100361435,0.0061089317077006895,0.001284782252577444,6.358101396313073,7.024192320309494,0.0937755089836607,0.0008696988107853407,0.00018290818274759808,0.9888998428083704
cos_to_late_window,22,0.517161154806266,0.004456060714667723,0.002423656616309389,3.9759447502375993,4.499985622374842,0.11492506825684859,0.0009902388782113624,0.0005385920799965396,0.9868717924559606
cos_to_late_window,23,0.6129904691848183,0.005830335961163261,0.00041802491483068074,5.010139392190775,5.629378222251587,0.10889132777787312,0.0010356980346634618,7.425774185474483e-05,0.9899096106822302
cos_to_late_window,24,3.157711155550055,0.00709488209616814,0.0005022382350424926,8.403353453813981,11.568661729695247,0.27295388432394235,0.000613284601273845,4.341368489955174e-05,0.9975998798003031
cos_to_running_mean,0,7.010305487091193,0.04678605182105769,0.5008954140609816,1.4169368890787861,8.974923842052018,0.7810991614485236,0.005212974800058089,0.055810547574123744,0.9275360662449162
cos_to_running_mean,1,6.009416415561139,0.35044695429135386,0.6899477164662028,1.9176768446510257,8.967487930969721,0.6701337611849226,0.03907972410880707,0.07693879509817123,0.8524223333052694
cos_to_running_mean,2,2.1969365481161094,0.11011877538837775,0.26151840542421323,0.7184540717267686,3.2870278006554687,0.6683656729882287,0.03350101735264267,0.07956075253518198,0.855313796669721
cos_to_running_mean,3,2.613882852657543,0.11831925425869413,0.2542600492035275,0.7442248567770154,3.73068701289678,0.7006438341306825,0.031715138217081995,0.06815368009285273,0.8752439227469386
cos_to_running_mean,4,2.4525057997791344,0.13720206392564374,0.29435046493099426,0.8578432733087517,3.741901601944524,0.6554169672726456,0.0366664008092423,0.07866333651799703,0.8503662271418857
cos_to_running_mean,5,2.826103401152252,0.1648202004686635,0.38692002071083065,1.145035894733432,4.522879517065179,0.6248460500637133,0.036441430696259755,0.08554727563512383,0.8366590396512718
cos_to_running_mean,6,2.4456728138822412,0.11105638741358151,0.30665156000303107,0.9789875047008892,3.842368265999743,0.6365014086555556,0.028903108636487197,0.07980795664916403,0.8541207117606193
cos_to_running_mean,7,2.268529897163094,0.10688534976167166,0.3055113905416979,1.0273454735243652,3.708272110990829,0.611748498833047,0.028823491524496703,0.08238645422923589,0.8461738062727842
cos_to_running_mean,8,2.392053087048912,0.11439812356209425,0.31837081258639566,1.038784049198462,3.863606072395864,0.6191244765193088,0.029609158236764736,0.08240250341799739,0.8467978043945433
cos_to_running_mean,9,2.8616816688336173,0.13352172328698875,0.2996821452218334,1.012213401682311,4.307098939024751,0.6644104789200832,0.0310003845226787,0.06957865362844205,0.868522331474303
cos_to_running_mean,10,2.9082972831546297,0.1570508873269157,0.34974087259639536,1.143627314638014,4.558716357715955,0.6379640791276973,0.03445068194714413,0.07671915626082632,0.8516021826867063
cos_to_running_mean,11,3.1262157289174537,0.1265929155402381,0.37230932077936424,1.1375190615661017,4.762637026803158,0.6564043640789218,0.026580424841909804,0.07817293627124694,0.8623762754470866
cos_to_running_mean,12,2.5412000198580715,0.11634505380231948,0.3059761452630416,1.0143010842728835,3.977822303196316,0.6388420160991432,0.029248429148992467,0.0769205162878139,0.8574934451730436
cos_to_running_mean,13,2.4548670864824262,0.09329507202813134,0.2855607662666043,1.0639434043200835,3.8976663290972455,0.6298299749663302,0.023936136177603432,0.07326454913156823,0.866304558225456
cos_to_running_mean,14,2.406422843286618,0.10316605830529944,0.27854677039116726,1.091855852260972,3.8799915242440566,0.6202134278516147,0.02658924836837096,0.07179056156454797,0.8630938829368477
cos_to_running_mean,15,2.2026350960930805,0.1017702504053987,0.2850622873289929,1.0801223830047637,3.669590016832236,0.6002401047500395,0.027733411617805633,0.0776823258242544,0.8506131018279547
cos_to_running_mean,16,2.2074629891010282,0.11902284972908518,0.2855490336410916,1.3521099761090203,3.9641448485802253,0.5568572979596444,0.030024848807357205,0.07203294646091506,0.845112372872948
cos_to_running_mean,17,2.223041949257851,0.19991408562726962,0.40434271685205764,1.7065202456533248,4.533818997390503,0.490324371250231,0.04409397149342149,0.08918369195699745,0.7862776962964904
cos_to_running_mean,18,1.3492839376581263,0.12536959051196556,0.19257109306285142,1.0973583714148496,2.764582992647793,0.4880605651002153,0.04534846334704975,0.06965647027959739,0.8092994312069995
