radius_of_gyration,effective_dimension,speed,tortuosity,turn_angle,directional_consistency,cos_slope,early_late_ratio,time_to_commit,commitment_sharpness,problem_id,condition,correct,bin,group,layer,num_tokens
3359.6172,8.12557,4384.5063,0.0433272,1.9910736,0.08575413,0.0010664751896491418,1.029336,8,0.070310235,0,cot,True,UltraSmall,G4,23,26
3593.2944,8.302529,4715.997,0.042931013,2.002558,0.08159019,0.0013872577593876767,1.0526624,8,0.09295362,0,cot,True,UltraSmall,G4,24,26
3970.702,8.320615,5135.3574,0.038330477,1.9988475,0.084473036,0.001339801045564505,1.0866553,8,0.1322931,0,cot,True,UltraSmall,G4,25,26
111.82079,4.483095,150.98433,0.03218717,2.0480912,0.046066053,0.00631635926520595,0.8994726,19,0.24088365,0,cot,True,UltraSmall,G4,26,26
24.489428,1.7323264,35.907497,0.40510428,1.9050059,0.41179383,0.25204984098672867,1.1850768,0,0.17186224,1,direct,True,UltraSmall,G2,0,4
197.5812,1.6638902,320.55338,0.30306545,2.0695918,0.3274739,0.034110769629478455,1.0684117,0,0.08597404,1,direct,True,UltraSmall,G2,1,4
196.99287,1.8364334,304.0338,0.35451284,1.994396,0.3544913,0.03627234697341919,0.9128816,0,0.050123036,1,direct,True,UltraSmall,G2,2,4
192.34607,1.936663,294.3013,0.37493753,1.974981,0.36681274,0.03077241778373718,0.8911566,0,0.04192221,1,direct,True,UltraSmall,G2,3,4
209.64583,1.9065284,319.65518,0.37063995,1.9382565,0.36764064,0.006423443555831909,0.96866995,0,0.027476251,1,direct,True,UltraSmall,G2,4,4
220.37343,1.9384044,317.2941,0.42010623,1.885535,0.3951148,0.011691808700561523,0.8001685,0,0.020154297,1,direct,True,UltraSmall,G2,5,4
283.49594,1.8067198,394.89584,0.42761087,1.7650964,0.39737254,0.012860804796218872,0.832025,0,0.017180324,1,direct,True,UltraSmall,G2,6,4
257.9745,1.9645368,346.36398,0.48708835,1.7678951,0.46320868,0.013679921627044676,0.70674014,0,0.0052533746,1,direct,True,UltraSmall,G2,7,4
327.04654,1.887574,381.6389,0.62715876,1.4965616,0.6101339,0.013363867998123167,0.6133586,0,0.004151523,1,direct,True,UltraSmall,G2,8,4
314.63977,1.9276444,405.13477,0.53016645,1.6725278,0.48681492,0.004465579986572266,0.6221725,0,0.00062328577,1,direct,True,UltraSmall,G2,9,4
392.90866,1.6584579,563.98956,0.3902666,1.6914386,0.40057114,0.0034667551517486572,1.0836225,0,0.00063735247,1,direct,True,UltraSmall,G2,10,4
457.46158,1.5848227,567.7776,0.51668996,1.767999,0.46543366,0.0026077330112457275,0.62317234,0,0.0008869767,1,direct,True,UltraSmall,G2,11,4
508.19388,1.4881612,710.519,0.3943822,1.6740645,0.3735934,0.0009871721267700195,0.9117913,0,0.00043457747,1,direct,True,UltraSmall,G2,12,4
488.59247,1.5709727,662.4687,0.45105332,1.6313419,0.43463793,0.0016360580921173096,0.88343537,0,0.00053298473,1,direct,True,UltraSmall,G2,13,4
555.8984,1.763119,761.61945,0.45598203,1.6229395,0.46116498,0.001940697431564331,1.0117061,0,0.0011880994,1,direct,True,UltraSmall,G2,14,4
791.89557,1.6921556,1120.7704,0.42308637,1.6824794,0.4318656,-0.00015881657600402832,1.179864,0,0.00056266785,1,direct,True,UltraSmall,G2,15,4
936.0418,1.7810701,1329.818,0.4188806,1.7099977,0.4191564,0.0019273757934570312,1.027306,0,0.0025367737,1,direct,True,UltraSmall,G2,16,4
997.0537,1.9070895,1464.2948,0.3964303,1.8113267,0.3940672,0.0021854043006896973,0.86793894,0,0.0013358593,1,direct,True,UltraSmall,G2,17,4
1307.1643,1.9578632,1881.8654,0.41641936,1.7876587,0.405943,0.001956045627593994,0.9016308,0,0.003119111,1,direct,True,UltraSmall,G2,18,4
1684.6333,1.9541787,2390.7727,0.4263945,1.7581742,0.42358264,0.000910818576812744,0.9562864,0,0.004866779,1,direct,True,UltraSmall,G2,19,4
2009.3296,1.9571862,2966.9016,0.3852746,1.8585427,0.3839879,-0.00092431902885437,0.9474211,0,0.004328251,1,direct,True,UltraSmall,G2,20,4
2308.36,1.9161358,3511.237,0.34178948,1.9342897,0.3389708,-0.001309424638748169,0.9051138,0,0.003917992,1,direct,True,UltraSmall,G2,21,4
2901.9507,1.9068384,4675.1987,0.27877924,2.0317001,0.27969962,-0.023493409156799316,0.8457996,0,0.02145493,1,direct,True,UltraSmall,G2,22,4
3570.0203,1.8756906,5898.2144,0.2403924,2.0654864,0.24306484,-0.04587110877037048,0.7942494,0,0.051297843,1,direct,True,UltraSmall,G2,23,4
4058.0889,1.774691,6814.346,0.22568958,2.134594,0.23558211,-0.0652586817741394,0.74225205,0,0.074294746,1,direct,True,UltraSmall,G2,24,4
4846.316,1.579191,8148.86,0.21273284,2.1956038,0.2402068,-0.0965406596660614,0.63589054,0,0.1227783,1,direct,True,UltraSmall,G2,25,4
80.30234,1.6390465,131.9983,0.2858144,2.104597,0.3113409,-0.012597933411598206,0.69889414,0,0.21285206,1,direct,True,UltraSmall,G2,26,4
28.2311,6.881178,41.17173,0.037709184,2.0427816,0.049401756,0.0012055293413727815,1.0418197,17,0.46353087,1,cot,True,UltraSmall,G4,0,32
204.24863,3.892027,307.2203,0.03374452,2.0624778,0.051004246,-0.0009336727280770578,1.0106469,3,0.17628485,1,cot,True,UltraSmall,G4,1,32
202.49063,5.297271,298.7352,0.035997014,2.0485523,0.050040215,-0.0009454314266481706,0.98263985,3,0.1283437,1,cot,True,UltraSmall,G4,2,32
210.7517,5.8852687,306.68555,0.036203053,2.0442746,0.043416258,-0.0011225972444780412,0.9837088,3,0.14360774,1,cot,True,UltraSmall,G4,3,32
227.64693,5.547544,328.59027,0.039063998,2.0283613,0.040346507,3.075775119566148e-05,0.98887116,3,0.051303923,1,cot,True,UltraSmall,G4,4,32
252.31058,4.7504168,354.49234,0.030757787,2.0185883,0.04062609,5.010190990663344e-05,0.96690285,3,0.051267326,1,cot,True,UltraSmall,G4,5,32
314.7663,2.9408853,437.90274,0.039624933,1.9865197,0.04373432,0.00012946866693035248,0.9200083,3,0.03837675,1,cot,True,UltraSmall,G4,6,32
312.09628,3.8712115,430.89114,0.030791394,1.9717791,0.039078437,5.579006768042041e-05,1.0201588,1,0.023002028,1,cot,True,UltraSmall,G4,7,32
405.9119,2.7090058,522.06696,0.034835063,1.9310735,0.073473,-3.064418992688579e-05,0.9326764,4,0.015942395,1,cot,True,UltraSmall,G4,8,32
430.41083,2.908749,556.6981,0.034219224,1.8966881,0.04067647,-1.2671034182271649e-05,0.9142116,1,0.006494522,1,cot,True,UltraSmall,G4,9,32
542.8845,2.3170485,717.1656,0.031789396,1.9067701,0.0853035,6.878981667180215e-05,0.9708771,25,0.006121397,1,cot,True,UltraSmall,G4,10,32
554.9682,2.312519,729.6061,0.042135093,1.9961219,0.045689624,3.0102340444441766e-05,0.94391984,1,0.0036403537,1,cot,True,UltraSmall,G4,11,32
844.8848,1.8642262,1005.8102,0.030277494,1.8747771,0.04234557,2.879120649829987e-06,0.95784396,3,0.0024943948,1,cot,True,UltraSmall,G4,12,32
790.7052,2.5559232,982.45233,0.0306625,1.8874972,0.056098424,1.534348533999535e-05,1.0017476,6,0.0021103024,1,cot,True,UltraSmall,G4,13,32
933.9156,3.491573,1105.4065,0.03450244,1.8557305,0.0671344,6.741542489297928e-05,0.9700628,16,0.0042290688,1,cot,True,UltraSmall,G4,14,32
1199.2902,6.410442,1346.4554,0.041159887,1.8355517,0.070977174,2.0547667818684733e-05,0.94152105,9,0.011310518,1,cot,True,UltraSmall,G4,15,32
1416.4592,6.103617,1620.5492,0.033716492,1.8483715,0.060133357,3.749019195956568e-05,0.96205634,16,0.010643125,1,cot,True,UltraSmall,G4,16,32
1428.647,10.028403,1694.5007,0.033406887,1.9137892,0.06287343,6.63735693500888e-05,0.9461477,22,0.008038282,1,cot,True,UltraSmall,G4,17,32
1935.5619,11.008657,2319.1208,0.035091534,1.9092873,0.06348506,-2.9599330117625573e-05,0.8791143,22,0.012962759,1,cot,True,UltraSmall,G4,18,32
2382.948,9.353985,2851.2563,0.035214916,1.8977056,0.06817826,0.0001871886993608167,0.94345933,22,0.030872524,1,cot,True,UltraSmall,G4,19,32
2639.2646,9.881632,3188.2668,0.036489945,1.9155736,0.06420129,0.00038902074579269655,0.972538,22,0.024580836,1,cot,True,UltraSmall,G4,20,32
2961.1582,9.598658,3591.8335,0.036839917,1.9234958,0.060072407,0.0006807522908333809,0.9988991,8,0.05287969,1,cot,True,UltraSmall,G4,21,32
3302.639,10.542814,4066.2485,0.03322338,1.9316173,0.05844934,0.0005950177869489116,0.9833336,9,0.064891696,1,cot,True,UltraSmall,G4,22,32
3769.015,11.091402,4673.6904,0.032258835,1.9420742,0.06391745,0.0006922184219283441,0.97858167,22,0.094584405,1,cot,True,UltraSmall,G4,23,32
4073.2385,11.62159,5061.1997,0.03169251,1.944389,0.062150374,0.0006439571178728534,0.9527753,22,0.1028713,1,cot,True,UltraSmall,G4,24,32
4437.7056,12.332023,5425.419,0.030007705,1.9300655,0.06528096,0.0008608999752229259,0.9812513,8,0.08706415,1,cot,True,UltraSmall,G4,25,32
111.96004,6.3065457,141.88239,0.026402703,1.9696698,0.03866919,0.0037117841706100483,0.89165777,24,0.29098567,1,cot,True,UltraSmall,G4,26,32
23.81881,1.0000001,40.6603,0.52154803,2.044597,0.5214061,0.03586213290691376,0.9718809,0,0.014088035,2,direct,True,UltraSmall,G2,0,3
180.29408,1.0,343.36792,0.34648207,2.4355006,0.3457577,0.0785222053527832,0.953382,0,0.07606727,2,direct,True,UltraSmall,G2,1,3
166.90033,1.0,305.1931,0.4124479,2.3037393,0.4067801,0.051940083503723145,0.86117214,0,0.040770292,2,direct,True,UltraSmall,G2,2,3
163.58846,1.0000001,290.5614,0.45945495,2.1950152,0.45581603,0.04973524808883667,0.87821805,0,0.032031834,2,direct,True,UltraSmall,G2,3,3
186.67279,0.9999999,338.418,0.42716452,2.2679806,0.42304754,-0.06251126527786255,0.8774161,0,0.005897343,2,direct,True,UltraSmall,G2,4,3
185.8359,1.0000001,329.43484,0.4507917,2.2592452,0.42700112,-0.038051724433898926,0.7244175,0,0.0019537807,2,direct,True,UltraSmall,G2,5,3
271.43103,1.0000001,466.77087,0.46748677,2.3565302,0.38252828,-0.028429746627807617,0.549365,0,0.0024658442,2,direct,True,UltraSmall,G2,6,3
260.74228,1.0,421.63165,0.55546206,2.145076,0.4778964,-0.010108411312103271,0.51251644,0,-0.0021766424,2,direct,True,UltraSmall,G2,7,3
274.39816,1.0000001,395.364,0.7256083,1.6404005,0.68207484,0.003319084644317627,0.4941924,0,0.0014032722,2,direct,True,UltraSmall,G2,8,3
243.98729,1.0000001,390.15875,0.603033,1.8917408,0.58503723,-0.0002551078796386719,0.69449276,0,-0.00021147728,2,direct,True,UltraSmall,G2,9,3
334.0451,1.0000001,578.29694,0.50058305,2.0935986,0.5003449,-0.00010353326797485352,0.9649602,0,-0.0002374649,2,direct,True,UltraSmall,G2,10,3
385.8915,0.99999994,582.7827,0.64130694,1.9670776,0.55408007,0.0015487074851989746,0.4410312,0,0.00052684546,2,direct,True,UltraSmall,G2,11,3
475.61838,1.0,848.7367,0.41736943,2.443289,0.34210086,-0.0005626082420349121,0.5943335,0,-0.00032508373,2,direct,True,UltraSmall,G2,12,3
408.0135,1.0000001,694.7807,0.51216763,2.113836,0.4915583,0.00028383731842041016,0.71650606,0,-6.9737434e-06,2,direct,True,UltraSmall,G2,13,3
478.14316,1.0,790.1327,0.56417286,1.9595249,0.55721986,0.0010263919830322266,0.8077622,0,0.00028544664,2,direct,True,UltraSmall,G2,14,3
715.1579,1.0,1156.7986,0.59852946,1.8628551,0.5966891,-0.0014323592185974121,0.88956434,0,-0.00065529346,2,direct,True,UltraSmall,G2,15,3
853.8724,1.0,1479.697,0.49304396,2.132549,0.48338884,-0.004503011703491211,0.80031765,0,-0.00019270182,2,direct,True,UltraSmall,G2,16,3
950.79175,0.99999994,1638.7166,0.5025482,2.1055477,0.49516305,-0.0035042166709899902,0.8201655,0,-0.0005951524,2,direct,True,UltraSmall,G2,17,3
1337.2114,1.0,2417.2207,0.42972872,2.269867,0.4221927,-0.02565830945968628,0.8375781,0,0.0012910366,2,direct,True,UltraSmall,G2,18,3
1603.0509,1.0,2887.8809,0.43610388,2.2520425,0.43025485,-0.04163271188735962,0.85381293,0,0.0017738342,2,direct,True,UltraSmall,G2,19,3
1839.5045,1.0000001,3409.2432,0.39090693,2.348974,0.38601646,-0.05062443017959595,0.87473166,0,0.006103575,2,direct,True,UltraSmall,G2,20,3
2077.147,0.9999999,3906.8955,0.3662915,2.4009054,0.3619358,-0.059649109840393066,0.8860523,0,0.010769367,2,direct,True,UltraSmall,G2,21,3
2408.5247,1.0000001,4593.288,0.34096733,2.4589956,0.33471113,-0.0745965838432312,0.87091357,0,0.017546117,2,direct,True,UltraSmall,G2,22,3
2744.0034,1.0,5256.8643,0.33246988,2.4782345,0.32563105,-0.07943367958068848,0.86749387,0,0.018448353,2,direct,True,UltraSmall,G2,23,3
2871.1492,0.9999999,5451.867,0.34934253,2.438622,0.3442926,-0.06981390714645386,0.88140005,0,0.01393187,2,direct,True,UltraSmall,G2,24,3
3120.4526,1.0000001,5895.573,0.35759065,2.423202,0.35152104,-0.05453139543533325,0.8690235,0,0.004071474,2,direct,True,UltraSmall,G2,25,3
68.71145,0.9999999,125.78,0.4113945,2.303508,0.40688583,-0.25368258357048035,1.1424589,0,0.20749384,2,direct,True,UltraSmall,G2,26,3
